Wavenumber	O4-Amplitude	Phase	Real	Imag
1400.000000	0.843583	-4.183607	0.841336	-0.061542	
1404.000000	0.871709	-2.458648	0.870906	-0.037395	
1408.000000	0.879276	-0.172695	0.879272	-0.002650	
1412.000000	0.866652	1.673570	0.866283	0.025311	
1416.000000	0.843841	2.329933	0.843144	0.034305	
1420.000000	0.826641	1.626444	0.826308	0.023463	
1424.000000	0.827775	0.310635	0.827763	0.004488	
1428.000000	0.846286	-0.398796	0.846266	-0.005890	
1432.000000	0.868581	0.104273	0.868579	0.001581	
1436.000000	0.880584	1.498330	0.880283	0.023025	
1440.000000	0.876567	3.036310	0.875337	0.046431	
1444.000000	0.859889	4.034224	0.857759	0.060495	
1448.000000	0.839403	4.134538	0.837218	0.060520	
1452.000000	0.824558	3.439328	0.823073	0.049467	
1456.000000	0.820446	2.480884	0.819677	0.035514	
1460.000000	0.824331	1.885621	0.823885	0.027124	
1464.000000	0.827579	1.839275	0.827152	0.026562	
1468.000000	0.824064	1.933257	0.823595	0.027800	
1472.000000	0.815955	1.649843	0.815617	0.023492	
1476.000000	0.810075	0.857512	0.809984	0.012123	
1480.000000	0.811503	-0.158182	0.811500	-0.002240	
1484.000000	0.820543	-0.949666	0.820430	-0.013600	
1488.000000	0.832837	-1.204953	0.832653	-0.017514	
1492.000000	0.842048	-0.953161	0.841932	-0.014008	
1496.000000	0.844349	-0.541331	0.844312	-0.007977	
1500.000000	0.841399	-0.371196	0.841381	-0.005451	
1504.000000	0.839096	-0.589264	0.839052	-0.008630	
1508.000000	0.843058	-0.935405	0.842946	-0.013763	
1512.000000	0.853534	-0.893717	0.853430	-0.013313	
1516.000000	0.864036	-0.137006	0.864034	-0.002066	
1520.000000	0.866628	1.175337	0.866445	0.017776	
1524.000000	0.858094	2.585587	0.857221	0.038710	
1528.000000	0.840585	3.657069	0.838874	0.053616	
1532.000000	0.819328	4.109769	0.817221	0.058719	
1536.000000	0.800716	3.889278	0.798872	0.054311	
1540.000000	0.789875	3.234215	0.788617	0.044563	
1544.000000	0.787954	2.568908	0.787162	0.035317	
1548.000000	0.792005	2.231252	0.791405	0.030835	
1552.000000	0.797373	2.313930	0.796723	0.032194	
1556.000000	0.799970	2.678383	0.799096	0.037382	
1560.000000	0.798086	3.030775	0.796970	0.042197	
1564.000000	0.793719	3.085836	0.792568	0.042727	
1568.000000	0.791173	2.796131	0.790231	0.038595	
1572.000000	0.793136	2.378909	0.792453	0.032921	
1576.000000	0.798878	2.082725	0.798350	0.029033	
1580.000000	0.805867	2.000356	0.805376	0.028129	
1584.000000	0.812023	2.068154	0.811494	0.029304	
1588.000000	0.816898	2.164497	0.816315	0.030853	
1592.000000	0.821528	2.219719	0.820912	0.031819	
1596.000000	0.827149	2.269749	0.826500	0.032759	
1600.000000	0.833857	2.407248	0.833121	0.035024	
1604.000000	0.840577	2.681586	0.839656	0.039327	
1608.000000	0.846255	3.057498	0.845050	0.045138	
1612.000000	0.850929	3.468583	0.849371	0.051482	
1616.000000	0.855529	3.910380	0.853537	0.058344	
1620.000000	0.860234	4.465026	0.857623	0.066970	
1624.000000	0.863433	5.175058	0.859913	0.077881	
1628.000000	0.863656	5.930675	0.859033	0.089237	
1632.000000	0.861932	6.566343	0.856278	0.098565	
1636.000000	0.861704	7.031269	0.855223	0.105482	
1640.000000	0.867179	7.528092	0.859705	0.113611	
1644.000000	0.879216	8.603729	0.869322	0.131530	
1648.000000	0.888225	10.811164	0.872460	0.166607	
1652.000000	0.878071	13.828084	0.852622	0.209867	
1656.000000	0.845309	16.599521	0.810081	0.241488	
1660.000000	0.799129	18.449602	0.758055	0.252901	
1664.000000	0.747729	19.170950	0.706262	0.245545	
1668.000000	0.696381	18.551170	0.660197	0.221555	
1672.000000	0.652333	16.290021	0.626145	0.182979	
1676.000000	0.626573	12.599330	0.611485	0.136676	
1680.000000	0.624512	8.834482	0.617103	0.095913	
1684.000000	0.636223	6.328726	0.632346	0.070133	
1688.000000	0.647768	4.986830	0.645316	0.056308	
1692.000000	0.654684	4.036837	0.653060	0.046088	
1696.000000	0.660066	3.031021	0.659142	0.034902	
1700.000000	0.667771	2.016216	0.667357	0.023494	
1704.000000	0.678342	1.252067	0.678180	0.014822	
1708.000000	0.689453	0.849376	0.689377	0.010220	
1712.000000	0.699269	0.705357	0.699216	0.008608	
1716.000000	0.707809	0.717315	0.707753	0.008861	
1720.000000	0.715230	0.895063	0.715142	0.011173	
1724.000000	0.720354	1.259923	0.720180	0.015839	
1728.000000	0.721282	1.709167	0.720961	0.021513	
1732.000000	0.717322	1.984657	0.716892	0.024842	
1736.000000	0.710949	1.783205	0.710604	0.022123	
1740.000000	0.707933	1.039764	0.707817	0.012846	
1744.000000	0.712892	0.169596	0.712889	0.002110	
1748.000000	0.723765	-0.268282	0.723757	-0.003389	
1752.000000	0.734193	-0.147130	0.734190	-0.001885	
1756.000000	0.739830	0.257058	0.739823	0.003319	
1760.000000	0.740293	0.592639	0.740253	0.007657	
1764.000000	0.738264	0.620943	0.738221	0.008001	
1768.000000	0.737889	0.347270	0.737875	0.004472	
1772.000000	0.741423	0.052764	0.741423	0.000683	
1776.000000	0.746924	0.013109	0.746924	0.000171	
1780.000000	0.750929	0.238964	0.750923	0.003132	
1784.000000	0.751607	0.574218	0.751570	0.007532	
1788.000000	0.748904	0.853690	0.748821	0.011158	
1792.000000	0.743887	0.949116	0.743785	0.012322	
1796.000000	0.738451	0.800164	0.738379	0.010312	
