Wavenumber	O3-Amplitude	Phase	Real	Imag
1400.000000	0.845406	-1.400830	0.845153	-0.020667	
1404.000000	0.855179	-1.571365	0.854857	-0.023451	
1408.000000	0.863201	-1.390019	0.862947	-0.020940	
1412.000000	0.868382	-1.104325	0.868221	-0.016736	
1416.000000	0.872510	-0.866633	0.872410	-0.013197	
1420.000000	0.878012	-0.640441	0.877957	-0.009814	
1424.000000	0.885079	-0.246005	0.885071	-0.003800	
1428.000000	0.890494	0.413888	0.890471	0.006433	
1432.000000	0.890812	1.183822	0.890622	0.018404	
1436.000000	0.885984	1.795134	0.885549	0.027754	
1440.000000	0.878859	2.084323	0.878277	0.031964	
1444.000000	0.872845	2.059084	0.872281	0.031361	
1448.000000	0.870233	1.872203	0.869768	0.028431	
1452.000000	0.870908	1.755468	0.870499	0.026679	
1456.000000	0.871647	1.862961	0.871186	0.028336	
1460.000000	0.868309	2.080335	0.867737	0.031520	
1464.000000	0.860444	2.088368	0.859873	0.031355	
1468.000000	0.852066	1.688106	0.851697	0.025101	
1472.000000	0.847763	0.963830	0.847643	0.014260	
1476.000000	0.849692	0.185650	0.849687	0.002753	
1480.000000	0.856856	-0.350788	0.856840	-0.005246	
1484.000000	0.865564	-0.476455	0.865534	-0.007198	
1488.000000	0.871415	-0.256857	0.871407	-0.003907	
1492.000000	0.872396	0.056849	0.872396	0.000866	
1496.000000	0.870212	0.232993	0.870205	0.003539	
1500.000000	0.868455	0.233028	0.868447	0.003532	
1504.000000	0.869561	0.227057	0.869554	0.003446	
1508.000000	0.872527	0.451433	0.872500	0.006875	
1512.000000	0.873329	0.953110	0.873208	0.014527	
1516.000000	0.869529	1.486791	0.869237	0.022561	
1520.000000	0.863559	1.797621	0.863134	0.027089	
1524.000000	0.859693	1.896823	0.859222	0.028456	
1528.000000	0.859914	2.014451	0.859383	0.030227	
1532.000000	0.862338	2.406406	0.861577	0.036207	
1536.000000	0.861755	3.124247	0.860474	0.046967	
1540.000000	0.853732	3.850019	0.851806	0.057324	
1544.000000	0.840118	4.106411	0.837962	0.060160	
1548.000000	0.827728	3.718061	0.825986	0.053676	
1552.000000	0.821973	2.911966	0.820911	0.041757	
1556.000000	0.824031	2.072709	0.823492	0.029803	
1560.000000	0.831434	1.518178	0.831143	0.022028	
1564.000000	0.839575	1.350026	0.839342	0.019781	
1568.000000	0.844684	1.404709	0.844430	0.020707	
1572.000000	0.846655	1.433833	0.846390	0.021185	
1576.000000	0.847871	1.346296	0.847637	0.019921	
1580.000000	0.850014	1.218332	0.849821	0.018073	
1584.000000	0.852936	1.155014	0.852762	0.017193	
1588.000000	0.855420	1.193540	0.855234	0.017818	
1592.000000	0.856385	1.284365	0.856170	0.019195	
1596.000000	0.855848	1.332963	0.855616	0.019909	
1600.000000	0.855058	1.273479	0.854847	0.019003	
1604.000000	0.855778	1.117136	0.855615	0.016685	
1608.000000	0.859512	0.953184	0.859393	0.014298	
1612.000000	0.866955	0.940006	0.866838	0.014223	
1616.000000	0.876952	1.279100	0.876733	0.019576	
1620.000000	0.885517	2.077912	0.884935	0.032107	
1624.000000	0.888104	3.166778	0.886748	0.049061	
1628.000000	0.884214	4.199832	0.881840	0.064756	
1632.000000	0.877545	4.957729	0.874262	0.075838	
1636.000000	0.872689	5.454369	0.868738	0.082952	
1640.000000	0.873126	5.912111	0.868482	0.089934	
1644.000000	0.878995	6.751849	0.872899	0.103343	
1648.000000	0.883198	8.338662	0.873861	0.128085	
1652.000000	0.875071	10.408856	0.860670	0.158100	
1656.000000	0.853082	12.242939	0.833680	0.180902	
1660.000000	0.823563	13.443807	0.800996	0.191471	
1664.000000	0.791434	13.960621	0.768056	0.190937	
1668.000000	0.759055	13.753972	0.737290	0.180468	
1672.000000	0.729330	12.698739	0.711490	0.160325	
1676.000000	0.707550	10.805508	0.695005	0.132649	
1680.000000	0.697932	8.538475	0.690196	0.103624	
1684.000000	0.698035	6.510863	0.693533	0.079151	
1688.000000	0.702266	4.860579	0.699740	0.059504	
1692.000000	0.708654	3.409712	0.707399	0.042148	
1696.000000	0.718533	2.125696	0.718039	0.026652	
1700.000000	0.732386	1.224875	0.732219	0.015656	
1704.000000	0.746939	0.920050	0.746843	0.011994	
1708.000000	0.756956	1.094475	0.756818	0.014459	
1712.000000	0.760517	1.350101	0.760306	0.017919	
1716.000000	0.760517	1.396608	0.760291	0.018536	
1720.000000	0.760817	1.254451	0.760635	0.016656	
1724.000000	0.762840	1.122040	0.762694	0.014938	
1728.000000	0.765257	1.158905	0.765100	0.015478	
1732.000000	0.765515	1.356306	0.765301	0.018120	
1736.000000	0.762085	1.517181	0.761818	0.020178	
1740.000000	0.756659	1.389583	0.756437	0.018349	
1744.000000	0.753464	0.947936	0.753361	0.012465	
1748.000000	0.754767	0.457862	0.754743	0.006031	
1752.000000	0.758933	0.165682	0.758929	0.002195	
1756.000000	0.763046	0.100852	0.763045	0.001343	
1760.000000	0.765268	0.136931	0.765266	0.001829	
1764.000000	0.765658	0.099064	0.765657	0.001324	
1768.000000	0.766269	-0.113365	0.766268	-0.001516	
1772.000000	0.769465	-0.405700	0.769445	-0.005448	
1776.000000	0.775234	-0.573164	0.775196	-0.007755	
1780.000000	0.781461	-0.517467	0.781429	-0.007058	
1784.000000	0.786072	-0.281832	0.786062	-0.003867	
1788.000000	0.787898	0.021526	0.787898	0.000296	
1792.000000	0.786900	0.247105	0.786893	0.003394	
1796.000000	0.784653	0.272258	0.784644	0.003729	
